Year,Team,Wins,Loss,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding %,Defensive Rebounding %,Rebounding %,Turnover %,Effective Field Goal %,True Shooting %,Pace,Player Impact Estimate
2012,New York Knicks,5,1,95,110.8,-15.8,41.2,0.68,11,33.8,69.6,51.1,21.1,45.1,49.9,87.3,36.4
2012,Orlando Magic,5,1,95.2,107.3,-12,55.5,1.23,14.6,28.6,61.9,45.1,15.9,45.2,48.6,86.3,42.3
2012,Dallas Mavericks,4,0,100.5,108.1,-7.6,49.2,1.07,12.7,28,79.4,52.1,15.6,45.5,51.9,92.5,44.6
2012,Utah Jazz,4,0,92.2,109.9,-17.7,51.1,1.24,13,35.7,78.1,54.3,14.4,39.5,44.3,93.25,38.7
2011,Dallas Mavericks,21,16,110.7,104.7,6,58.4,1.56,16.7,29.6,68.3,49.4,14.5,51.9,57.1,88.06,53.6
2011,Miami Heat,21,14,105.5,102.5,3,50.5,1.19,14.1,30.4,70,50.8,15.8,48.5,54.2,87.02,52.6
2011,Chicago Bulls,16,9,104.8,100.4,4.5,59.2,1.48,16.1,37.1,71.9,53.8,15.4,46.1,51,87.52,52.4
2011,Oklahoma City Thunder,17,9,107.9,105.6,2.3,50,1.15,13.8,34,68.6,51.9,16.2,48.2,54.8,92.32,51.6
2011,Memphis Grizzlies,13,7,104.2,105,-0.7,51.4,1.44,14.5,33.4,68.3,50.3,13.8,46,51.2,90.97,49.3
2011,Atlanta Hawks,12,6,100.3,104.9,-4.6,54.9,1.46,15.6,28.5,65.8,47.5,14.4,46.4,50.5,86.21,47
2011,Boston Celtics,9,5,104.5,103.6,1,58.7,1.34,17.1,29.5,67.1,49.3,17.3,51.4,55.2,89.3,52.9
2011,Los Angeles Lakers,10,4,106.6,107.6,-1,54.5,1.51,15.7,33,74,52.4,14.3,47.7,52.6,87.6,48.6
2011,New Orleans Hornets,6,2,103.1,111.6,-8.5,61.4,1.57,17.3,26.2,65.1,45.8,14.8,48.8,53.7,86.58,45.2
2011,Orlando Magic,6,2,101.7,100.4,1.3,46.8,1.13,12.5,34.1,70.9,52.1,14.7,44.9,50.3,86.83,51
2011,Portland Trail Blazers,6,2,104.1,109.8,-5.7,51.3,1.48,15.1,27.7,67.8,48.1,13.6,48.7,53.4,84.83,47.7
2011,San Antonio Spurs,6,2,101.6,105,-3.4,53,1.24,14.5,28,72,49.7,15.4,47.1,52.6,91.25,48.5
2011,Denver Nuggets,5,1,102.5,107.1,-4.6,54,1.44,14.3,23.7,67.9,45.8,12.8,46.8,52.5,95.2,45.7
2011,Indiana Pacers,5,1,99.8,107,-7.2,48.8,1.05,13.1,32.4,57.8,44.9,16.8,44.5,49.6,90.8,42.7
2011,Philadelphia 76ers,5,1,100.2,108.8,-8.6,60.4,1.92,16.8,31.1,65.8,48,12.3,45.3,48.5,86.4,44.5
2011,New York Knicks,4,0,99.5,108.2,-8.7,52.3,1.1,13.2,36.1,62.2,48,16.7,43.5,48.3,91.5,40.6
2010,Los Angeles Lakers,23,16,111.3,107,4.3,52.6,1.57,15.6,34.7,68.4,51.6,13.7,50.2,54.6,90.85,52.3
2010,Boston Celtics,24,15,103.9,101.3,2.7,61.6,1.52,17.2,28.2,70.6,49.7,15.4,49.1,53.9,89.78,53.5
2010,Orlando Magic,14,10,110,100.7,9.4,51.4,1.23,14.5,29.3,71.5,51.2,15.6,53.3,57.4,86.92,56
2010,Phoenix Suns,16,10,116.9,111.9,5,54.8,1.66,16.5,32.5,68,50.6,13.7,53.6,58.2,91.63,51.5
2010,Cleveland Cavaliers,11,6,106.8,105.4,1.4,60.4,1.41,16.9,24.5,71.5,49.1,15.9,51.7,56.8,93.82,51.5
2010,Atlanta Hawks,11,4,103.5,110.9,-7.4,48.4,1.4,13.9,33.5,66.8,49.5,13.6,45.3,50.1,86.64,45.3
2010,San Antonio Spurs,10,4,104.8,108,-3.2,52.7,1.51,15.7,26.6,69.5,48.4,13.8,49.4,53.3,91.9,49
2010,Utah Jazz,10,4,112.1,114.5,-2.3,62.5,1.8,18,30.3,67.2,48.7,13.8,52,56.8,95.5,49
2010,Milwaukee Bucks,7,3,103.4,107.9,-4.4,48.3,1.31,13.8,33,64,48.3,14.3,46.5,51,86.93,45.5
2010,Dallas Mavericks,6,2,103.3,104.7,-1.3,54.4,1.42,15.2,31.9,72.1,51.6,14.5,46.8,51.8,89.5,49.9
2010,Denver Nuggets,6,2,112.3,113.5,-1.2,51.3,1.4,14.8,30.7,72.7,51.1,14,51.7,57.7,97.33,47.9
2010,Oklahoma City Thunder,6,2,102.7,104,-1.3,52.7,1.29,13.2,30.6,68.2,49,13.7,42.6,50.6,91.58,48.5
2010,Portland Trail Blazers,6,2,105.9,117.9,-12,59.1,1.77,16.1,32.1,63.5,47.2,12.5,47.1,52.2,87.75,44.7
2010,Chicago Bulls,5,1,103,112.3,-9.3,50.3,1.9,15,28.1,76,50.4,10.6,45.7,50.4,94.4,44.2
2010,Miami Heat,5,1,96.7,105.3,-8.6,52.4,0.99,14.6,29,75,50.6,19.6,47.9,51.3,90.8,40.2
2010,Charlotte Bobcats,4,0,100.3,109.9,-9.6,64.8,1.31,17.2,30,71.3,50.7,18.2,47.7,52.3,85.75,44.7
